["port 1","LEFT"]
["port 2","RIGHT"]
["port 3","RIGHT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(1000, 3)
1.8997314655375831e+14 3.1882483843198332e-03 9.6742861726339964e+00
1.8998519762877444e+14 3.1886897098234160e-03 9.7139936045691506e+00
1.8999725023282369e+14 3.1895565958019578e-03 9.7531176943579716e+00
1.9000930436619719e+14 3.1908991569859521e-03 9.7916732068318915e+00
1.9002136002918597e+14 3.1927687816875315e-03 9.8296764701098027e+00
1.9003341722208122e+14 3.1952176635324735e-03 9.8671453801531683e+00
1.9004547594517419e+14 3.1982983222016200e-03 9.9040993911135935e+00
1.9005753619875622e+14 3.2020631180664128e-03 9.9405594899112710e+00
1.9006959798311862e+14 3.2065637659438634e-03 9.9765481537638845e+00
1.9008166129855294e+14 3.2118508534889015e-03 1.0012089289732190e+01
1.9009372614535069e+14 3.2179733699195432e-03 1.0047208155748764e+01
1.9010579252380350e+14 3.2249782508675475e-03 1.0081931263050695e+01
1.9011786043420303e+14 3.2329099451041893e-03 1.0116286260419617e+01
1.9012992987684103e+14 3.2418100087124794e-03 1.0150301801138520e+01
1.9014200085200941e+14 3.2517167319910710e-03 1.0184007394073859e+01
1.9015407336000000e+14 3.2626648039161062e-03 1.0217433240772598e+01
1.9016614740110484e+14 3.2746850184216950e-03 1.0250610060903730e+01
1.9017822297561597e+14 3.2878040260658201e-03 1.0283568908744295e+01
1.9019030008382550e+14 3.3020441338609515e-03 1.0316340983709361e+01
1.9020237872602566e+14 3.3174231551682805e-03 1.0348957438122627e+01
1.9021445890250875e+14 3.3339543106479319e-03 1.0381449185522577e+01
1.9022654061356706e+14 3.3516461803058382e-03 1.0413846712785771e+01
1.9023862385949312e+14 3.3705027057541041e-03 1.0446179899232286e+01
1.9025070864057934e+14 3.3905232409106490e-03 1.0478477845652922e+01
1.9026279495711838e+14 3.4117026485485352e-03 1.0510768715895928e+01
1.9027488280940278e+14 3.4340314393661803e-03 1.0543079593259854e+01
1.9028697219772541e+14 3.4574959496602342e-03 1.0575436353509170e+01
1.9029906312237897e+14 3.4820785531694651e-03 1.0607863555849260e+01
1.9031115558365634e+14 3.5077579023302646e-03 1.0640384352718844e+01
1.9032324958185053e+14 3.5345091939623175e-03 1.0673020418771399e+01
1.9033534511725453e+14 3.5623044543195838e-03 1.0705791898964767e+01
1.9034744219016144e+14 3.5911128384943981e-03 1.0738717375261533e+01
1.9035954080086444e+14 3.6209009393194202e-03 1.0771813851076111e+01
1.9037164094965675e+14 3.6516331011523040e-03 1.0805096752299207e+01
1.9038374263683175e+14 3.6832717342862370e-03 1.0838579943488920e+01
1.9039584586268278e+14 3.7157776260862744e-03 1.0872275757639089e+01
1.9040795062750334e+14 3.7491102454210216e-03 1.0906195037824181e+01
1.9042005693158700e+14 3.7832280373873194e-03 1.0940347188963148e+01
1.9043216477522731e+14 3.8180887058105852e-03 1.0974740237943164e+01
1.9044427415871806e+14 3.8536494814521878e-03 1.1009380900390063e+01
1.9045638508235297e+14 3.8898673743101432e-03 1.1044274652448083e+01
1.9046849754642584e+14 3.9266994088020257e-03 1.1079425806048237e+01
1.9048061155123069e+14 3.9641028410158001e-03 1.1114837586270939e+01
1.9049272709706147e+14 4.0020353575558436e-03 1.1150512209555124e+01
1.9050484418421222e+14 4.0404552558154687e-03 1.1186450961660627e+01
1.9051696281297712e+14 4.0793216057752098e-03 1.1222654274443453e+01
1.9052908298365034e+14 4.1185943936478172e-03 1.1259121800653144e+01
1.9054120469652628e+14 4.1582346478824580e-03 1.1295852486110856e+01
1.9055332795189922e+14 4.1982045481746000e-03 1.1332844638755684e+01
1.9056545275006362e+14 4.2384675182626898e-03 1.1370095994178014e+01
1.9057757909131403e+14 4.2789883033596742e-03 1.1407603777363416e+01
1.9058970697594500e+14 4.3197330331311195e-03 1.1445364760473559e+01
1.9060183640425125e+14 4.3606692711759846e-03 1.1483375316575307e+01
